Content,output_dir,file name,input_file,language,count,random_sequences,include_letters,include_numbers,include_symbols,length,random,format,thread_count,extension,skew_angle,random_skew,use_wikipedia,blur,random_blur,background,handwritten,name_format,distorsion,distorsion_orientation,width,alignment,orientation,text_color,space_width,margins,fit,font,case,MS-OCR eng. result,Raw Score
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_0.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,2.3093945178737996,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_1.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.1215451016180271,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Hello. I'm Pablo from IJIPath,0.87719298245614
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_10.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.5273359890618448,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Hebo. rm Pabio i-hPath,0.64
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_11.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.2165812663433866,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Hello. Crn Pablo from IJIPath,0.771929824561403
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_12.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,2.569797776245404,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_13.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,0.5306444220523714,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,"Hello, I'm Pablo from UiPath",1
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_14.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,3.525295690779417,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_15.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,3.031842331809162,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_16.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.6751884757772348,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,rm Pabh frcyn l..hPath,0.52
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_17.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.8921390938965348,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_18.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,2.9452521923644364,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_19.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.7181925383912664,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,Failed to Read,0
"Hello, I'm Pablo from UiPath",out/,"Hello, I'm Pablo from UiPath_2.jpg",texts\test.txt,en,100,False,False,False,False,1,False,32,1,jpg,0,False,False,1.6625706995400908,True,0,False,0,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 5)",False,\\Mac\Home\Documents\UiPath\OCR_testing_tool\project_folder\TextRecogDataGen\TextRecogDataGen\fonts\latin\OpenSans-Regular.ttf,,rm,0.0666666666666667
